"","Symbol","Name","LastSale","MarketCap","Sector","industry"
"3370","MAGS","Magal Security Systems Ltd.","5.09","$117.29M","Consumer Durables","Telecommunications Equipment"
"3371","MGLN","Magellan Health, Inc.","69.42","$1.68B","Health Care","Hospital/Nursing Management"
"3372","MGTA","Magenta Therapeutics, Inc.","15.02","$497.94M","Health Care","Major Pharmaceuticals"
"3373","MGIC","Magic Software Enterprises Ltd.","9.15","$446.13M","Technology","Computer Software: Prepackaged Software"
"3374","MGYR","Magyar Bancorp, Inc.","11.68","$67.99M","Finance","Savings Institutions"
"3375","MHLD","Maiden Holdings, Ltd.","1.26","$104.51M","Finance","Property-Casualty Insurers"
"3376","MJCO","Majesco","7.48","$274.33M","Technology","Computer Software: Prepackaged Software"
"3377","MMYT","MakeMyTrip Limited","28.96","$2.95B","Consumer Services","Transportation Services"
"3378","MBUU","Malibu Boats, Inc.","46.46","$968.07M","Capital Goods","Marine Transportation"
"3379","MLVF","Malvern Bancorp, Inc.","20.76","$161.4M","Finance","Savings Institutions"
"3380","MAMS","MAM Software Group, Inc.","8.54","$107.64M","Technology","Computer Software: Prepackaged Software"
"3381","TUSK","Mammoth Energy Services, Inc.","23.48","$1.05B","Energy","Oilfield Services/Equipment"
"3382","MANH","Manhattan Associates, Inc.","54.9","$3.57B","Technology","Computer Software: Prepackaged Software"
"3383","LOAN","Manhattan Bridge Capital, Inc","6.41","$61.94M","Consumer Services","Real Estate Investment Trusts"
"3384","MNTX","Manitex International, Inc.","7.82","$153.45M","Technology","Industrial Machinery/Components"
"3385","MTEX","Mannatech, Incorporated","19.29","$45.93M","Consumer Durables","Specialty Chemicals"
"3386","MNKD","MannKind Corporation","1.77","$282.49M","Health Care","Major Pharmaceuticals"
"3387","MANT","ManTech International Corporation","54.98","$2.19B","Consumer Services","Other Consumer Services"
"3388","MARA","Marathon Patent Group, Inc.","0.6449","$16.46M","Miscellaneous","Multi-Sector Companies"
"3389","MCHX","Marchex, Inc.","4.48","$188.08M","Miscellaneous","Business Services"
"3390","MRIN","Marin Software Incorporated","4.08","$23.63M","Technology","EDP Services"
"3391","MARPS","Marine Petroleum Trust","2.35","$4.7M","Energy","Oil & Gas Production"
"3392","MRNS","Marinus Pharmaceuticals, Inc.","3.49","$141.43M","Health Care","Major Pharmaceuticals"
"3393","MRKR","Marker Therapeutics, Inc.","6.12","$277.67M","Health Care","Major Pharmaceuticals"
"3394","MKTX","MarketAxess Holdings, Inc.","243.09","$9.87B","Finance","Investment Bankers/Brokers/Service"
"3395","MRLN","Marlin Business Services Corp.","24.19","$299.18M","Finance","Major Banks"
"3396","MAR","Marriott International","124.45","$42.45B","Consumer Services","Hotels/Resorts"
"3397","MBII","Marrone Bio Innovations, Inc.","1.64","$181.53M","Basic Industries","Agricultural Chemicals"
"3398","MRTN","Marten Transport, Ltd.","18.7","$1.02B","Transportation","Trucking Freight/Courier Services"
"3399","MMLP","Martin Midstream Partners L.P.","13.04","$509.2M","Energy","Oil Refining/Marketing"
